Id,Label,indegree,outdegree,Degree,closnesscentrality,betweenesscentrality,componentnumber,strongcompnum,modularity_class,stat_inf_class,clustering,eigencentrality
Sony News,Sony News,3,0,3,0,0,0,1145,5,14,1,0.083323
Handheld Game Console,Handheld Game Console,20,0,20,0,0,0,2442,6,7,0.260526,0.410894
Love Tester,Love Tester,2,0,2,0,0,0,4324,5,27,0.5,0.011805
Commodore 64 Games System,Commodore 64 Games System,9,0,9,0,0,0,6155,7,39,0.416667,0.192391
Web Archiving,Web Archiving,2,0,2,0,0,0,6648,8,8,1,0.009398
Timeline Of The Covid-19 Pandemic In The Philippines (2021),Timeline Of The Covid-19 Pandemic In The Philippines (2021),2,0,2,0,0,0,2804,3,23,1,0.02008
Covid-19 Pandemic In Brazil,Covid-19 Pandemic In Brazil,2,0,2,0,0,0,3905,3,23,1,0.02008
Covid-19 Pandemic In Popular Culture,Covid-19 Pandemic In Popular Culture,2,0,2,0,0,0,3568,3,23,1,0.02008
Museum,Museum,3,241,244,0.240069,11072.24201,0,9252,8,8,0.003622,0.026927
Adventures By Disney,Adventures By Disney,2,0,2,0,0,0,4807,2,10,0.5,0.015153
Dead Or Alive Ultimate,Dead Or Alive Ultimate,2,0,2,0,0,0,6352,6,27,1,0.018893
Pcsx2,Pcsx2,2,0,2,0,0,0,7987,6,7,1,0.035117
Kotaku Uk,Kotaku Uk,2,0,2,0,0,0,2516,4,12,0,0.029016
Social Distancing,Social Distancing,4,0,4,0,0,0,2960,6,23,0.333333,0.073445
Social Science Research Network,Social Science Research Network,3,0,3,0,0,0,114,4,12,0.5,0.050171
Michael Jackson,Michael Jackson,2,0,2,0,0,0,7021,5,33,0,0.03685
Dota Pro Circuit,Dota Pro Circuit,3,0,3,0,0,0,5655,5,27,1,0.014194
Covid-19 Pandemic In The Community Of Madrid,Covid-19 Pandemic In The Community Of Madrid,2,0,2,0,0,0,3554,3,23,1,0.02008
Software For Covid-19 Pandemic Mitigation,Software For Covid-19 Pandemic Mitigation,2,0,2,0,0,0,2950,3,23,1,0.02008
Australian Broadcasting Corporation,Australian Broadcasting Corporation,3,0,3,0,0,0,4041,6,23,0.5,0.027197
Mix (Magazine),Mix (Magazine),2,0,2,0,0,0,2505,4,12,0,0.029016
Maria Van Kerkhove,Maria Van Kerkhove,2,0,2,0,0,0,3135,3,23,1,0.02008
Inventory (Library And Archive),Inventory (Library And Archive),2,0,2,0,0,0,6696,8,8,1,0.009398
Curse Llc,Curse Llc,2,0,2,0,0,0,6411,5,21,0.5,0.024502
Social Impact Of The Covid-19 Pandemic In The Republic Of Ireland,Social Impact Of The Covid-19 Pandemic In The Republic Of Ireland,2,0,2,0,0,0,2954,3,23,1,0.02008
Gratis Versus Libre,Gratis Versus Libre,4,0,4,0,0,0,982,1,31,0.75,0.057222
International Aid Related To The Covid-19 Pandemic,International Aid Related To The Covid-19 Pandemic,2,0,2,0,0,0,3176,3,23,1,0.02008
Johns Hopkins University,Johns Hopkins University,2,0,2,0,0,0,388,0,23,0,0.021201
Patent,Patent,11,0,11,0,0,0,270,6,9,0.2,0.19778
Wasteland 2,Wasteland 2,2,0,2,0,0,0,5169,6,18,0.5,0.018835
Mental Health,Mental Health,3,0,3,0,0,0,3129,6,23,0.333333,0.069843
Conservation And Restoration Of Tibetan Thangkas,Conservation And Restoration Of Tibetan Thangkas,2,0,2,0,0,0,6811,8,8,1,0.009398
Middleware,Middleware,5,0,5,0,0,0,748,6,8,0.35,0.084387
Ultima Online,Ultima Online,2,0,2,0,0,0,5171,6,18,0.5,0.018835
Neo Geo Pocket,Neo Geo Pocket,3,0,3,0,0,0,5835,6,14,1,0.110678
The Dagger Of Amon Ra,The Dagger Of Amon Ra,2,0,2,0,0,0,6983,4,33,1,0.005142
Time Management Game,Time Management Game,7,0,7,0,0,0,5054,6,22,0.642857,0.125385
Panzer Dragoon Saga,Panzer Dragoon Saga,2,0,2,0,0,0,2693,6,18,0,0.015339
Covid-19 Pandemic In The Northwest Territories,Covid-19 Pandemic In The Northwest Territories,2,0,2,0,0,0,3532,3,23,1,0.02008
Sony Pictures,Sony Pictures,3,0,3,0,0,0,1144,5,14,1,0.083323
Clock Rate,Clock Rate,9,0,9,0,0,0,805,7,28,0.111111,0.149381
Engadget,Engadget,13,0,13,0,0,0,2650,4,7,0.121795,0.167289
Climate Change Video Game,Climate Change Video Game,7,0,7,0,0,0,5304,6,22,0.642857,0.125385
Fan Service,Fan Service,2,0,2,0,0,0,6596,1,31,0.5,0.009747
3Do Interactive Multiplayer,3Do Interactive Multiplayer,7,0,7,0,0,0,4156,5,9,0.47619,0.159157
Handheld Electronic Game,Handheld Electronic Game,5,0,5,0,0,0,6115,6,22,0.7,0.138688
Virtual Boy,Virtual Boy,6,0,6,0,0,0,493,6,18,0.5,0.147894
Go!Cam,Go!Cam,4,0,4,0,0,0,5613,5,14,0.75,0.089051
Out Run,Out Run,4,0,4,0,0,0,6024,1,18,0.083333,0.039864
Playstation Analog Joystick,Playstation Analog Joystick,5,0,5,0,0,0,1253,5,14,0.6,0.098124
Noor Hisham Abdullah,Noor Hisham Abdullah,2,0,2,0,0,0,3086,3,23,1,0.02008
Overpainting,Overpainting,2,0,2,0,0,0,6676,8,8,1,0.009398
Softporn Adventure,Softporn Adventure,2,0,2,0,0,0,6995,4,33,1,0.005142
Copyright Term,Copyright Term,4,0,4,0,0,0,4521,1,31,0.333333,0.046346
Ibm Monochrome Display Adapter,Ibm Monochrome Display Adapter,5,0,5,0,0,0,7074,7,33,0.3,0.01754
Radio Disney,Radio Disney,2,0,2,0,0,0,4657,2,10,0.5,0.015153
Hoyle'S Official Book Of Games,Hoyle'S Official Book Of Games,2,0,2,0,0,0,7054,4,33,1,0.005142
Responses To The Covid-19 Pandemic In April 2022,Responses To The Covid-19 Pandemic In April 2022,2,0,2,0,0,0,3034,3,23,1,0.02008
Software As A Service,Software As A Service,2,0,2,0,0,0,4552,1,14,0.5,0.009644
Sound Recording And Reproduction,Sound Recording And Reproduction,3,0,3,0,0,0,4363,1,31,0.166667,0.031979
Michael Mcbride (Doctor),Michael Mcbride (Doctor),2,0,2,0,0,0,3126,3,23,1,0.02008
First Amendment To The United States Constitution,First Amendment To The United States Constitution,2,0,2,0,0,0,4491,6,10,0,0.026827
Covid-19 Misinformation In Canada,Covid-19 Misinformation In Canada,2,0,2,0,0,0,3978,3,23,1,0.02008
Quicklaw,Quicklaw,2,0,2,0,0,0,126,4,12,1,0.046085
2020–2023 Global Chip Shortage,2020–2023 Global Chip Shortage,2,0,2,0,0,0,4098,3,23,1,0.02008
Metaverse,Metaverse,2,0,2,0,0,0,5742,6,25,1,0.053365
Fifae World Cup,Fifae World Cup,3,0,3,0,0,0,5625,5,27,1,0.014194
Covid-19 Pandemic In Puerto Rico,Covid-19 Pandemic In Puerto Rico,2,0,2,0,0,0,3684,3,23,1,0.02008
Turntablism,Turntablism,2,0,2,0,0,0,1117,1,18,0,0.037584
Bleem!,Bleem!,4,0,4,0,0,0,7990,6,7,0.916667,0.098727
Covid-19 Pandemic In Western Australia,Covid-19 Pandemic In Western Australia,2,0,2,0,0,0,3579,3,23,1,0.02008
The Walt Disney Company Cis,The Walt Disney Company Cis,2,0,2,0,0,0,4635,2,10,0.5,0.015153
Oceanic Climate,Oceanic Climate,4,0,4,0,0,0,1489,0,17,0.583333,0.041996
Tank Controls,Tank Controls,4,0,4,0,0,0,2413,4,26,0.666667,0.0755
Conservation Issues Of Pompeii And Herculaneum,Conservation Issues Of Pompeii And Herculaneum,2,0,2,0,0,0,6754,8,8,1,0.009398
Mrna Vaccine,Mrna Vaccine,2,0,2,0,0,0,3141,3,23,1,0.02008
Future Publishing,Future Publishing,4,0,4,0,0,0,4594,5,18,0.333333,0.064979
Timeline Of The Covid-19 Pandemic In April 2022,Timeline Of The Covid-19 Pandemic In April 2022,2,0,2,0,0,0,2903,3,23,1,0.02008
Zynga,Zynga,3,0,3,0,0,0,2590,6,16,0,0.016267
Official U.S. Playstation Magazine,Official U.S. Playstation Magazine,8,0,8,0,0,0,157,4,12,0.446429,0.181181
Covid-19 Pandemic In Tonga,Covid-19 Pandemic In Tonga,2,0,2,0,0,0,3608,3,23,1,0.02008
Sega Visions,Sega Visions,5,0,5,0,0,0,117,4,12,0.45,0.09984
High-Level Programming Language,High-Level Programming Language,5,0,5,0,0,0,1346,7,28,0.35,0.082541
Early Mainframe Games,Early Mainframe Games,5,0,5,0,0,0,6042,6,22,0.7,0.094753
Nintendo New York,Nintendo New York,2,0,2,0,0,0,4308,5,27,0.5,0.011805
Next Generation (Magazine),Next Generation (Magazine),12,45,57,0.318623,17942.064966,0,9252,5,9,0.068578,0.198223
Origin (Service),Origin (Service),2,0,2,0,0,0,6858,5,14,0,0.022457
Pbs News Hour,Pbs News Hour,2,0,2,0,0,0,5364,6,25,1,0.053365
Covid-19 Pandemic In The Czech Republic,Covid-19 Pandemic In The Czech Republic,2,0,2,0,0,0,3549,3,23,1,0.02008
Backbone Entertainment,Backbone Entertainment,2,0,2,0,0,0,5532,4,24,0,0.005527
Hirokazu Tanaka,Hirokazu Tanaka,2,0,2,0,0,0,4339,5,27,0.5,0.011805
Copyright Infringement,Copyright Infringement,15,0,15,0,0,0,1948,1,5,0.2,0.202086
Conservation And Restoration Of Human Remains,Conservation And Restoration Of Human Remains,2,0,2,0,0,0,6793,8,8,1,0.009398
Janssen Covid-19 Vaccine,Janssen Covid-19 Vaccine,2,0,2,0,0,0,3169,3,23,1,0.02008
2021–2022 Inflation Surge,2021–2022 Inflation Surge,2,0,2,0,0,0,4082,3,23,1,0.02008
Covid-19 Pandemic In The Sahrawi Arab Democratic Republic,Covid-19 Pandemic In The Sahrawi Arab Democratic Republic,2,0,2,0,0,0,3525,3,23,1,0.02008
Espn Classic,Espn Classic,2,0,2,0,0,0,4719,2,10,0.5,0.015153
"Sony Computer Entertainment, Inc. V. Connectix Corp.","Sony Computer Entertainment, Inc. V. Connectix Corp.",2,123,125,0.278403,2932.303593,0,9252,1,10,0.009376,0.034356
Oclc (Identifier),Oclc (Identifier),34,0,34,0,0,0,274,8,19,0.096257,0.460259
Uk Rapid Test Consortium,Uk Rapid Test Consortium,2,0,2,0,0,0,2774,3,23,1,0.02008
World Population,World Population,2,0,2,0,0,0,2737,3,23,1,0.02008
Desktop Computer,Desktop Computer,9,0,9,0,0,0,4785,7,3,0.305556,0.186338
Virtual Camera System,Virtual Camera System,3,0,3,0,0,0,462,6,18,0.5,0.055996
Covid-19 Pandemic In Panama,Covid-19 Pandemic In Panama,2,0,2,0,0,0,3695,3,23,1,0.02008
National Museum Of Natural History,National Museum Of Natural History,2,0,2,0,0,0,4183,0,8,0,0.012429
Playstation Link Cable,Playstation Link Cable,5,0,5,0,0,0,1245,5,14,0.6,0.098124
Microsoft Flight Simulator,Microsoft Flight Simulator,3,0,3,0,0,0,5741,6,32,0.666667,0.057753
Portugal,Portugal,7,0,7,0,0,0,201,0,17,0.47619,0.114889
Iso 3166,Iso 3166,6,0,6,0,0,0,313,8,17,0.633333,0.137082
Localish,Localish,2,0,2,0,0,0,4681,2,10,0.5,0.015153
The Colonel'S Bequest,The Colonel'S Bequest,2,0,2,0,0,0,6984,4,33,1,0.005142
Timeline Of The Covid-19 Pandemic In California,Timeline Of The Covid-19 Pandemic In California,2,0,2,0,0,0,2890,3,23,1,0.02008
Galoob,Galoob,2,0,2,0,0,0,4355,6,27,1,0.011614
Naughty Dog,Naughty Dog,3,0,3,0,0,0,2624,6,16,0.166667,0.039829
Daytona Usa (Video Game),Daytona Usa (Video Game),2,0,2,0,0,0,6044,5,21,0,0.011461
Epoch Game Pocket Computer,Epoch Game Pocket Computer,2,0,2,0,0,0,6143,6,25,1,0.076398
Bloomberg News,Bloomberg News,12,0,12,0,0,0,5397,2,26,0.181818,0.207359
Protests Over Responses To The Covid-19 Pandemic,Protests Over Responses To The Covid-19 Pandemic,2,0,2,0,0,0,3050,3,23,1,0.02008
Proprietary Software,Proprietary Software,12,0,12,0,0,0,843,6,7,0.121212,0.126874
Call To Power Ii,Call To Power Ii,2,0,2,0,0,0,4886,6,14,0,0.007659
Dv (Video Format),Dv (Video Format),3,0,3,0,0,0,9009,5,14,1,0.083323
Responses To The Covid-19 Pandemic In October 2022,Responses To The Covid-19 Pandemic In October 2022,2,0,2,0,0,0,3006,3,23,1,0.02008
Kizzmekia Corbett,Kizzmekia Corbett,2,0,2,0,0,0,3155,3,23,1,0.02008
Destructible Environment,Destructible Environment,3,0,3,0,0,0,5135,6,26,0.833333,0.060482
Research Policy,Research Policy,2,0,2,0,0,0,1315,6,14,1,0.087139
Covid-19 Surveillance,Covid-19 Surveillance,2,0,2,0,0,0,3498,3,23,1,0.02008
National Hardware Show,National Hardware Show,2,0,2,0,0,0,9218,4,12,1,0.046085
California Government Response To The Covid-19 Pandemic,California Government Response To The Covid-19 Pandemic,2,0,2,0,0,0,3409,3,23,1,0.02008
Architectural Record,Architectural Record,2,0,2,0,0,0,5398,0,26,0,0.011938
Fanac,Fanac,2,0,2,0,0,0,6593,1,31,0.5,0.009747
S-268019,S-268019,2,0,2,0,0,0,3000,3,23,1,0.02008
Manhattan,Manhattan,2,0,2,0,0,0,3136,0,23,0.5,0.023693
Sevenhills Hospital,Sevenhills Hospital,2,0,2,0,0,0,2971,3,23,1,0.02008
Wired (Website),Wired (Website),2,0,2,0,0,0,4160,6,18,0,0.032439
Tecmo,Tecmo,2,0,2,0,0,0,6335,6,18,0,0.03404
Xbox Cloud Gaming,Xbox Cloud Gaming,3,0,3,0,0,0,444,6,14,0.333333,0.071263
Vg Pocket,Vg Pocket,4,0,4,0,0,0,5789,6,18,1,0.096349
Viral Vector Vaccine,Viral Vector Vaccine,2,0,2,0,0,0,2754,3,23,1,0.02008
Folklore,Folklore,3,0,3,0,0,0,6529,8,8,0.5,0.013484
Fifae Nations Cup,Fifae Nations Cup,3,0,3,0,0,0,5626,5,27,1,0.014194
Furry Fandom,Furry Fandom,2,0,2,0,0,0,6588,1,31,0.5,0.009747
Mortal Kombat 1,Mortal Kombat 1,3,0,3,0,0,0,5421,6,26,1,0.031603
Golden Age Of Video Arcade Games,Golden Age Of Video Arcade Games,3,0,3,0,0,0,6195,1,18,0.666667,0.059803
Social Impact Of The Covid-19 Pandemic In New Zealand,Social Impact Of The Covid-19 Pandemic In New Zealand,2,0,2,0,0,0,2956,3,23,1,0.02008
Covidsafe,Covidsafe,2,0,2,0,0,0,3413,3,23,1,0.02008
Arcade Game,Arcade Game,22,0,22,0,0,0,1269,6,20,0.238095,0.360905
Disney'S One Too,Disney'S One Too,2,0,2,0,0,0,4782,2,10,0.5,0.015153
Openstreetmap,Openstreetmap,8,0,8,0,0,0,930,1,17,0.392857,0.084851
Pokémon Red And Blue,Pokémon Red And Blue,3,0,3,0,0,0,5188,4,18,0.333333,0.050834
"Gabriel Knight 3: Blood Of The Sacred, Blood Of The Damned","Gabriel Knight 3: Blood Of The Sacred, Blood Of The Damned",2,0,2,0,0,0,7058,4,33,1,0.005142
Super Hang-On,Super Hang-On,2,0,2,0,0,0,6418,5,21,0,0.00646
Tomonobu Itagaki,Tomonobu Itagaki,2,0,2,0,0,0,5468,5,27,1,0.010193
Covid-19 Pandemic In Connecticut,Covid-19 Pandemic In Connecticut,2,0,2,0,0,0,3881,3,23,1,0.02008
Level (Magazine),Level (Magazine),4,0,4,0,0,0,169,4,12,0.75,0.09213
Tadashi Sugiyama,Tadashi Sugiyama,2,0,2,0,0,0,4280,5,27,0.5,0.011805
Tifosi,Tifosi,2,0,2,0,0,0,6544,1,31,0.5,0.009747
University Of Texas At Austin,University Of Texas At Austin,2,0,2,0,0,0,360,0,10,0,0.008954
Covid-19 Pandemic Cases In August 2020,Covid-19 Pandemic Cases In August 2020,2,0,2,0,0,0,3971,3,23,1,0.02008
Covid-19 Pandemic In Johor,Covid-19 Pandemic In Johor,2,0,2,0,0,0,3803,3,23,1,0.02008
Covid-19 Pandemic In Northern Ireland,Covid-19 Pandemic In Northern Ireland,2,0,2,0,0,0,3710,3,23,1,0.02008
Casirivimab/Imdevimab,Casirivimab/Imdevimab,2,0,2,0,0,0,3401,3,23,1,0.02008
Enterbrain,Enterbrain,7,0,7,0,0,0,6040,4,24,0.119048,0.088629
Timeline Of The Covid-19 Pandemic In Spain,Timeline Of The Covid-19 Pandemic In Spain,2,0,2,0,0,0,2813,3,23,1,0.02008
Arrested Decay,Arrested Decay,2,0,2,0,0,0,6831,8,8,1,0.009398
Nintendo Video,Nintendo Video,2,0,2,0,0,0,6862,6,18,0,0.024172
Conservation And Restoration Of Feathers,Conservation And Restoration Of Feathers,2,0,2,0,0,0,6801,8,8,1,0.009398
2005 In Video Games,2005 In Video Games,5,0,5,0,0,0,6074,6,22,0.7,0.094753
Electromagnetic Warfare,Electromagnetic Warfare,2,0,2,0,0,0,9071,1,31,0,0.066486
Online Console Gaming,Online Console Gaming,8,0,8,0,0,0,5818,6,9,0.732143,0.213071
Buck Rogers: Planet Of Zoom,Buck Rogers: Planet Of Zoom,2,0,2,0,0,0,6461,6,18,0,0.011438
Mipcom,Mipcom,2,0,2,0,0,0,9225,4,12,1,0.046085
Covid-19 Pandemic In Djibouti,Covid-19 Pandemic In Djibouti,2,0,2,0,0,0,3870,3,23,1,0.02008
Street Fighter Ii: Champion Edition,Street Fighter Ii: Champion Edition,2,0,2,0,0,0,5493,5,27,0.5,0.007768
Novel Coronavirus Expert Meeting,Novel Coronavirus Expert Meeting,2,0,2,0,0,0,3083,3,23,1,0.02008
Vmu,Vmu,6,0,6,0,0,0,1279,5,21,0.6,0.144864
Trialware,Trialware,2,0,2,0,0,0,4545,1,14,0.5,0.009644
Micromanía,Micromanía,4,0,4,0,0,0,162,4,12,0.75,0.09213
Time Zone (Video Game),Time Zone (Video Game),2,0,2,0,0,0,6974,4,33,1,0.005142
Lexisnexis,Lexisnexis,2,0,2,0,0,0,9229,4,12,1,0.046085
Namco Arcade Stick,Namco Arcade Stick,3,0,3,0,0,0,6469,5,21,0.333333,0.045889
Impact Of The Covid-19 Pandemic On The Video Game Industry,Impact Of The Covid-19 Pandemic On The Video Game Industry,7,0,7,0,0,0,3188,6,23,0.428571,0.114832
2020 Russia–Saudi Arabia Oil Price War,2020 Russia–Saudi Arabia Oil Price War,2,0,2,0,0,0,4108,3,23,1,0.02008
Electronic Publishing,Electronic Publishing,7,0,7,0,0,0,324,8,8,0.142857,0.13331
Angler'S Mail,Angler'S Mail,2,0,2,0,0,0,2566,4,12,0,0.029016
Belgium,Belgium,7,0,7,0,0,0,8662,0,17,0.404762,0.108461
Salon (Magazine),Salon (Magazine),2,0,2,0,0,0,5335,6,25,1,0.053365
Covid-19 Pandemic In Andhra Pradesh,Covid-19 Pandemic In Andhra Pradesh,2,0,2,0,0,0,3941,3,23,1,0.02008
Pixelation,Pixelation,2,0,2,0,0,0,6430,6,18,0,0.004855
Multichannel News,Multichannel News,2,0,2,0,0,0,2503,4,12,0,0.029016
Virtual Reality,Virtual Reality,10,0,10,0,0,0,459,7,32,0.322222,0.20637
Package Manager,Package Manager,2,0,2,0,0,0,6856,5,14,0,0.022457
Pc Plus,Pc Plus,2,0,2,0,0,0,2491,4,12,0,0.029016
1971 In Video Games,1971 In Video Games,5,0,5,0,0,0,6112,6,22,0.7,0.094753
Tapwave Zodiac,Tapwave Zodiac,2,0,2,0,0,0,5794,6,25,1,0.076398
Covid-19 Pandemic In Cyprus,Covid-19 Pandemic In Cyprus,2,0,2,0,0,0,3875,3,23,1,0.02008
Coronavirus Scientific Advisory Board,Coronavirus Scientific Advisory Board,2,0,2,0,0,0,3368,3,23,1,0.02008
Covid-19 Pandemic In Luxembourg,Covid-19 Pandemic In Luxembourg,2,0,2,0,0,0,3777,3,23,1,0.02008
Kgo-Tv,Kgo-Tv,2,0,2,0,0,0,4684,2,10,0.5,0.015153
Kartridge,Kartridge,2,0,2,0,0,0,6873,5,14,0,0.022457
Opendocument,Opendocument,3,0,3,0,0,0,305,8,8,0.5,0.109317
New York City,New York City,12,0,12,0,0,0,1660,0,26,0.060606,0.133087
Penny Arcade,Penny Arcade,2,0,2,0,0,0,5199,6,27,0,0.021932
Anders Tegnell,Anders Tegnell,2,0,2,0,0,0,4053,3,23,1,0.02008
Video Games As An Art Form,Video Games As An Art Form,5,0,5,0,0,0,4162,6,18,0.45,0.074543
Clean Room Design,Clean Room Design,3,0,3,0,0,0,6563,6,32,0.333333,0.042791
Disney Branded Television,Disney Branded Television,2,0,2,0,0,0,4778,2,10,0.5,0.015153
Smart Tv,Smart Tv,8,0,8,0,0,0,1074,5,28,0.25,0.167559
Montreal Aquarium,Montreal Aquarium,2,0,2,0,0,0,4319,5,27,0.5,0.011805
Advance And Secure,Advance And Secure,3,0,3,0,0,0,5147,6,26,0.833333,0.060482
Covid-19 Pandemic In North America,Covid-19 Pandemic In North America,2,0,2,0,0,0,3716,3,23,1,0.02008
Anti-Mask Sentiment,Anti-Mask Sentiment,2,0,2,0,0,0,4049,3,23,1,0.02008
Economic Impact Of The Covid-19 Pandemic In New Zealand,Economic Impact Of The Covid-19 Pandemic In New Zealand,2,0,2,0,0,0,3333,3,23,1,0.02008
Software Publisher,Software Publisher,2,0,2,0,0,0,4549,1,14,0.5,0.009644
Mobile Game,Mobile Game,8,0,8,0,0,0,130,6,9,0.607143,0.209982
Covid-19 Pandemic In Guadeloupe,Covid-19 Pandemic In Guadeloupe,2,0,2,0,0,0,3838,3,23,1,0.02008
Covid-19 Vaccination In Thailand,Covid-19 Vaccination In Thailand,2,0,2,0,0,0,3433,3,23,1,0.02008
Wii Zapper,Wii Zapper,2,0,2,0,0,0,5839,6,18,0.5,0.030779
Ancient Greek,Ancient Greek,3,0,3,0,0,0,6838,0,8,0,0.009128
"Spry Fox, Llc V. Lolapps, Inc.","Spry Fox, Llc V. Lolapps, Inc.",2,0,2,0,0,0,4238,5,27,1,0.017489
Pc Pro,Pc Pro,2,0,2,0,0,0,2489,4,12,0,0.029016
Twilight Fandom,Twilight Fandom,2,0,2,0,0,0,6540,1,31,0.5,0.009747
2014 In Esports,2014 In Esports,3,0,3,0,0,0,5715,5,27,1,0.014194
Game Producer,Game Producer,2,0,2,0,0,0,6199,6,25,1,0.053365
Mcv/Develop,Mcv/Develop,3,0,3,0,0,0,2634,6,16,0.166667,0.069477
Hdcam,Hdcam,3,0,3,0,0,0,9001,5,14,1,0.083323
Heritage Railway,Heritage Railway,2,0,2,0,0,0,6706,8,8,1,0.009398
Malaysia,Malaysia,6,0,6,0,0,0,1686,0,17,0.3,0.067785
Super Smash Bros. Brawl,Super Smash Bros. Brawl,2,0,2,0,0,0,5541,6,27,1,0.020155
Covid-19 Pandemic In Guernsey,Covid-19 Pandemic In Guernsey,2,0,2,0,0,0,3835,3,23,1,0.02008
Trope (Literature),Trope (Literature),2,0,2,0,0,0,6541,8,31,0,0.006176
Steve L. Kent,Steve L. Kent,2,0,2,0,0,0,5085,6,25,1,0.053365
Economic Impact Of The Covid-19 Pandemic In The United Kingdom,Economic Impact Of The Covid-19 Pandemic In The United Kingdom,2,0,2,0,0,0,3330,3,23,1,0.02008
2022 Wellington Protest,2022 Wellington Protest,2,0,2,0,0,0,4075,3,23,1,0.02008
Covid-19 Vaccination In Djibouti,Covid-19 Vaccination In Djibouti,2,0,2,0,0,0,3474,3,23,1,0.02008
Snake Eyez,Snake Eyez,2,0,2,0,0,0,5552,5,27,1,0.010193
Ddr3 Sdram,Ddr3 Sdram,3,0,3,0,0,0,5914,7,38,0.166667,0.047671
Covid-19 Pandemic Cases In October 2020,Covid-19 Pandemic Cases In October 2020,2,0,2,0,0,0,3955,3,23,1,0.02008
Yoshio Sakamoto,Yoshio Sakamoto,2,0,2,0,0,0,4270,5,27,0.5,0.011805
Eastward (Video Game),Eastward (Video Game),2,0,2,0,0,0,6450,6,16,0,0.006013
Science Fiction Video Game,Science Fiction Video Game,7,0,7,0,0,0,5178,6,11,0.642857,0.125385
Nintendo E-Reader,Nintendo E-Reader,2,0,2,0,0,0,5865,6,18,0.5,0.030779
Video Games In Switzerland,Video Games In Switzerland,5,0,5,0,0,0,4991,6,22,0.7,0.094753
Wuhan Institute Of Virology,Wuhan Institute Of Virology,2,0,2,0,0,0,2736,3,23,1,0.02008
Wales,Wales,5,0,5,0,0,0,215,0,17,0.1,0.03468
Computer Game (Disambiguation),Computer Game (Disambiguation),2,0,2,0,0,0,6256,6,25,1,0.053365
Atari,Atari,12,0,12,0,0,0,2383,7,16,0.212121,0.215863
Doom (1993 Video Game),Doom (1993 Video Game),7,0,7,0,0,0,2651,6,32,0.238095,0.081423
Newsbank,Newsbank,2,0,2,0,0,0,4264,5,21,1,0.03165
Supercut,Supercut,2,0,2,0,0,0,6516,1,31,1,0.008038
San Francisco Chronicle,San Francisco Chronicle,7,0,7,0,0,0,1076,2,5,0.047619,0.054514
Hiroshi Kawaguchi (Composer),Hiroshi Kawaguchi (Composer),2,0,2,0,0,0,6284,4,18,0,0.008663
Video Games In Finland,Video Games In Finland,5,0,5,0,0,0,5012,6,22,0.7,0.094753
Covid-19 Pandemic In Mimaropa,Covid-19 Pandemic In Mimaropa,2,0,2,0,0,0,3753,3,23,1,0.02008
Sound Chip,Sound Chip,9,0,9,0,0,0,1303,7,38,0.166667,0.088722
Video Games In Brazil,Video Games In Brazil,5,0,5,0,0,0,5015,6,22,0.7,0.094753
Espn.Com,Espn.Com,2,0,2,0,0,0,4740,2,10,0.5,0.015153
Timeline Of The Covid-19 Pandemic In New Zealand (2022),Timeline Of The Covid-19 Pandemic In New Zealand (2022),2,0,2,0,0,0,2840,3,23,1,0.02008
"Playboy Enterprises, Inc. V. Frena","Playboy Enterprises, Inc. V. Frena",2,0,2,0,0,0,4399,1,10,1,0.021521
Covid-19 Pandemic In Latvia,Covid-19 Pandemic In Latvia,2,0,2,0,0,0,3787,3,23,1,0.02008
Copyright Act Of 1831,Copyright Act Of 1831,2,0,2,0,0,0,4449,1,10,1,0.021521
Conservation Technician,Conservation Technician,2,0,2,0,0,0,6750,8,8,1,0.009398
Covid-19 Vaccination In Singapore,Covid-19 Vaccination In Singapore,2,0,2,0,0,0,3441,3,23,1,0.02008
1Up.Com,1Up.Com,22,0,22,0,0,0,4892,6,24,0.140693,0.275085
Monolith Productions,Monolith Productions,2,0,2,0,0,0,4599,4,26,0,0.014194
Physics Engine,Physics Engine,2,0,2,0,0,0,5358,6,25,1,0.053365
Covid-19 Pandemic In The Democratic Republic Of The Congo,Covid-19 Pandemic In The Democratic Republic Of The Congo,2,0,2,0,0,0,3547,3,23,1,0.02008
Halo 2,Halo 2,2,0,2,0,0,0,6458,4,18,0,0.023918
Exmor,Exmor,3,0,3,0,0,0,9006,5,14,1,0.083323
Intellectual Property In China,Intellectual Property In China,2,0,2,0,0,0,5772,6,25,1,0.053365
Gründerzeit,Gründerzeit,2,0,2,0,0,0,1521,0,17,0.5,0.020933
Time Attack,Time Attack,4,0,4,0,0,0,5094,6,16,0.083333,0.020886
Covid-19 Pandemic In Delaware,Covid-19 Pandemic In Delaware,2,0,2,0,0,0,3873,3,23,1,0.02008
Amigaos,Amigaos,9,0,9,0,0,0,6442,7,39,0.305556,0.093486
Satire,Satire,3,0,3,0,0,0,6518,1,31,0.333333,0.010081
Patagonik Film Group,Patagonik Film Group,2,0,2,0,0,0,4661,2,10,0.5,0.015153
Playstation Mouse,Playstation Mouse,5,0,5,0,0,0,1243,5,14,0.6,0.098124
Emergent Gameplay,Emergent Gameplay,9,0,9,0,0,0,4356,6,9,0.430556,0.136312
Kentaro Iwata,Kentaro Iwata,2,0,2,0,0,0,3156,3,23,1,0.02008
